name,source,category,directions
Andama Bread,Simpsons,bread,"Mix:
5 c. flour 
1 c. cornmeal
2 pkgs dry yeast
1 T. salt

Now mix in a separate bowl:
2 c. hot water 
1/2 c. molasses
5 T. margarine 

Add water/molasses mixture to flour mixture and blend well. Knead, and let rise for 1-2 hours until doubled. Place in loaf pans and let rise again until doubled --- 1 hour. Bake in 375 oven for 40-50 until brown ed and sound hollow on the top.

Makes 2 loaves
"
Anderson's Pea Soup,Anderson's,soup,"Recipe for 8 bowls of Anderson's Famous Split Pea soup:

2 Qts. of soft water
2 Cups of green split peas
1 branch of celery coarsely chopped
1 large carrot, chopped
1 small onion, chopped
1/4 teaspoon of ground thyme
1 pinch of cayenne
1 bayleaf
3/4 t. salt
pepper

Boil hard for 20 minutes then slowly strain through fine sieve slowly until peas are tender and reheat to boiling point."
Apple John,Jane Leyes Andrews,dessert,"Sprinkle peeled apples with cinnamon and sugar.

Mix 1 cup sugar (half-shite and half brown. is good) and 1/2 cup butter. Add 1 cup flour. Sprinkle over apples.

Bake 30 minutes at 325 or until brown on top.
"
Baked Fish with Sour Cream,,main,"1-1 1/2 lbs. steaks or fillets of any white fish (halibut, rock cod, sole, butterfish, flounder, etc.).
1/2 c. sour cream med. onion, chopped fine
1/4 c. parsley
1/2 c. white wine
1/2 t. salt
pepper, if desired

Place fish in buttered baking dish. Mix sour cream, salt pepper and onions together and spread over fish. Garnish with lemon slices. Add the wine, place in 350 oven for 30-40 minutes until fish flakes easily with a fork. Do not over-cook.
"
Banana Walnut Bread,,bread,"1 c. sugar
1/2 c. butter or margarine.
2 eggs
1 1/3 c. mashed bananas
2 c. sifted flour
1 t. baking powder
1/2 t. salt
3/4 c. chopped walnuts

Cream butter and sugar. Add eggs and mashed bananas. Sift together flour, soda and salt. Add to mixture along with walnuts. Pour into greased 9x5 inch baking pan. Bake 1 hour. in 375 degree oven.
"
Basic Cheese Dip,Georgia Wright,dip,"1/4 c. milk
8 oz. cottage cheese. 
6 oz. cream cheese
2 oz. blue cheese

Add and blend.

1 clove garlic 
few drops tabasco"
Beef Dip,Aunt Florence,dip,"Set oven at 500 degrees. Place beef uncovered in pan in oven for 45 minutes. Then add 1 can of consommé and 1 can of water and cover whole pan with aluminum foil. Turn off oven and let stand for 1 1/2 hours. (Use watermelon cut or any other cut that is not fatty and can be oven-roasted, about 3½ to 4½ pounds.)"
Beet Soup,,soup,"5 medium beets 
2 1/2 c. water
1 1/2 t dill weed 
3 T lemon juice 
1 c. diced cucumber 

Cook or steam beets in their skins until fork tender. Salt lightly while cooking. slip skins and put beets in a blender or food processor with the water lemon juice and dill. Puree until smooth; cool ""then chill well. Serve garnished with cucumber. Serves 4"
Brilliant Bran Muffins,Florence Cogan,breakfast,"Soak-1 cup 100% bran in 1 cup boiling water

1 1/2 cup sugar 
2 eggs
2 1/2 cup flour 
1/2 tsp. soda
1/2 cup raisins, if desired
1/2 cup salad oil
2 cups buttermilk.
1/2 tsp. salt
2 1/2 cup Kellogg’s All-Bran

Mix all. Bake at 400 20 minutes. Batter will keep in the refrigerator for 3 weeks.
"
Broccoli Parmesan,Trisha Clark Pfaff,vegetable,"1 pkg. frozen broccoli spears
1/2 c. butter 
1/4 c. dry Vermouth (or dry white table wine, but preferably Vermouth)
2 t. lemon juice.
2 T. chopped parsley

Grated parmesan cheese, paprika While broccoli cooks, combine next four ingredients in saucepan; heat slowly until butter melts. Lift cooked broccoli onto heated plates. Spoon hot butter-wine sauce over each serving. Sprinkle parmesan and dust w/ paprika.

Serve at once.
"
Butterballs,Grandma,dessert,"1 c. butter
1/2 c. powdered sugar 
2 1/2 c. sifted flour
1/4 t. salt
3/4 c. finely chopped pecans
1 t. vanilla 

Add all ingredients in order as listed. Mix dough until forms a ball by hand-

Form into 1-inch balls. Bake in moderate oven 350 for 15 to 17 minutes. While hot roll in powdered sugar---Cool and roll again. 

P.S. I put powdered sugar in a bag and put in butterballs and shake.

makes 4 dozen
"
Carrot Walnut Bread,,bread,"1 cup oil
3/4 cup sugar
2 eggs
1 tsp. vanilla
1 1/2 c. sifted flour
1 1/2 tsp. baking soda
1 1/2 tsp. cinnamon
1/2 tsp. salt
1 1/2 c. grated carrot (3 large) 
1 1/2 c. ground walnuts

lemon glaze (recipe follows)

Grease 9x5 inch pan. Dust lightly with flour; tap out any excess. Combine oil, sugar, eggs, and vanilla in a large bowl. Sift together dry ingredients. Add to sugar mixture. Stir in carrots and walnuts. Fix just til blended. Turn into prepared pan. Bake in 350 I oven for 1 hour, or until center springs back when lightly pressed with fingertip. Cool in pan 10 minutes. Turn onto wire rack. Top with lemon glare.

Glaze: Combine 1/2 c. powdered sugar, 1 tsp. grated lemon rind and 1 T. lemon juice in a small bowl. Stir until smooth. Drizzle over top and sides of the loaf.
"
Celery and Lime Soup,,soup,"4 C. chopped celery with leaves 
1 1/2 C chopped onion 
1/2 C. brown rice 
1/2 C. chopped parsley 
4 C water 
1 T. dill weed 
1 t. salt 
4 eggs 
1/3 c. lime juice
sour cream
minced parsley
 
Put celery, onion, rice, in parsley, water, dill and salt in a soup pot. Bring to a boil. reduce heat, cover and simmer until rice is tender, about 35 to 40 minutes. Beat eggs until frothy, then slowly beat in lime juice. Add 2 cups of the pureed soup to the egg mixture, pouring continually and beating very slowly so that the eggs will not curdle. Return mixture to pot and cook and stir over low heat until slightly thickened. Do not allow to boil Remove from heat, cool, then chill for at least 5 hours Serve garnished with sour cream and parsley. Serves 6."
